date,day_of_week,day_num,week_of_year,month,month_name,quarter,year,season,is_weekend,is_public_holiday,holiday_name
2024-01-01,Monday,0,1,1,January,1,2024,Winter,False,True,New Year's Day
2024-01-02,Tuesday,1,1,1,January,1,2024,Winter,False,False,
2024-01-03,Wednesday,2,1,1,January,1,2024,Winter,False,False,
2024-01-04,Thursday,3,1,1,January,1,2024,Winter,False,False,
2024-01-05,Friday,4,1,1,January,1,2024,Winter,False,False,
2024-01-06,Saturday,5,1,1,January,1,2024,Winter,True,False,
2024-01-07,Sunday,6,1,1,January,1,2024,Winter,True,False,
2024-01-08,Monday,0,2,1,January,1,2024,Winter,False,False,
2024-01-09,Tuesday,1,2,1,January,1,2024,Winter,False,False,
2024-01-10,Wednesday,2,2,1,January,1,2024,Winter,False,False,
2024-01-11,Thursday,3,2,1,January,1,2024,Winter,False,False,
2024-01-12,Friday,4,2,1,January,1,2024,Winter,False,False,
2024-01-13,Saturday,5,2,1,January,1,2024,Winter,True,False,
2024-01-14,Sunday,6,2,1,January,1,2024,Winter,True,False,
2024-01-15,Monday,0,3,1,January,1,2024,Winter,False,False,
2024-01-16,Tuesday,1,3,1,January,1,2024,Winter,False,False,
2024-01-17,Wednesday,2,3,1,January,1,2024,Winter,False,False,
2024-01-18,Thursday,3,3,1,January,1,2024,Winter,False,False,
2024-01-19,Friday,4,3,1,January,1,2024,Winter,False,False,
2024-01-20,Saturday,5,3,1,January,1,2024,Winter,True,False,
2024-01-21,Sunday,6,3,1,January,1,2024,Winter,True,False,
2024-01-22,Monday,0,4,1,January,1,2024,Winter,False,False,
2024-01-23,Tuesday,1,4,1,January,1,2024,Winter,False,False,
2024-01-24,Wednesday,2,4,1,January,1,2024,Winter,False,False,
2024-01-25,Thursday,3,4,1,January,1,2024,Winter,False,False,
2024-01-26,Friday,4,4,1,January,1,2024,Winter,False,False,
2024-01-27,Saturday,5,4,1,January,1,2024,Winter,True,False,
2024-01-28,Sunday,6,4,1,January,1,2024,Winter,True,False,
2024-01-29,Monday,0,5,1,January,1,2024,Winter,False,False,
2024-01-30,Tuesday,1,5,1,January,1,2024,Winter,False,False,
2024-01-31,Wednesday,2,5,1,January,1,2024,Winter,False,False,
2024-02-01,Thursday,3,5,2,February,1,2024,Winter,False,False,
2024-02-02,Friday,4,5,2,February,1,2024,Winter,False,False,
2024-02-03,Saturday,5,5,2,February,1,2024,Winter,True,False,
2024-02-04,Sunday,6,5,2,February,1,2024,Winter,True,False,
2024-02-05,Monday,0,6,2,February,1,2024,Winter,False,False,
2024-02-06,Tuesday,1,6,2,February,1,2024,Winter,False,False,
2024-02-07,Wednesday,2,6,2,February,1,2024,Winter,False,False,
2024-02-08,Thursday,3,6,2,February,1,2024,Winter,False,False,
2024-02-09,Friday,4,6,2,February,1,2024,Winter,False,False,
2024-02-10,Saturday,5,6,2,February,1,2024,Winter,True,False,
2024-02-11,Sunday,6,6,2,February,1,2024,Winter,True,False,
