week_start_date,year,week_of_year,channel,spend_gbp
2024-01-01,2024,1,TV,5301.07
2024-01-01,2024,1,Social Media,2409.58
2024-01-01,2024,1,Outdoor,2653.08
2024-01-01,2024,1,Radio,1325.36
2024-01-01,2024,1,Email,367.95
2024-01-08,2024,2,TV,6688.49
2024-01-08,2024,2,Social Media,2677.07
2024-01-08,2024,2,Outdoor,2853.11
2024-01-08,2024,2,Radio,1217.72
2024-01-08,2024,2,Email,398.04
2024-01-15,2024,3,TV,5937.62
2024-01-15,2024,3,Social Media,3241.25
2024-01-15,2024,3,Outdoor,2052.95
2024-01-15,2024,3,Radio,1534.69
2024-01-15,2024,3,Email,364.94
2024-01-22,2024,4,TV,6266.22
2024-01-22,2024,4,Social Media,2336.47
2024-01-22,2024,4,Outdoor,2130.5
2024-01-22,2024,4,Radio,1130.13
2024-01-22,2024,4,Email,356.98
2024-01-29,2024,5,TV,5966.22
2024-01-29,2024,5,Social Media,2481.32
2024-01-29,2024,5,Outdoor,2794.51
2024-01-29,2024,5,Radio,1665.87
2024-01-29,2024,5,Email,350.12
2024-02-05,2024,6,TV,6711.61
2024-02-05,2024,6,Social Media,4221.16
2024-02-05,2024,6,Outdoor,4099.72
2024-02-05,2024,6,Radio,2039.53
2024-02-05,2024,6,Email,530.55
2024-02-12,2024,7,TV,7566.61
2024-02-12,2024,7,Social Media,3511.91
2024-02-12,2024,7,Outdoor,3587.72
2024-02-12,2024,7,Radio,2170.89
2024-02-12,2024,7,Email,513.76
2024-02-19,2024,8,TV,7782.77
2024-02-19,2024,8,Social Media,3923.54
2024-02-19,2024,8,Outdoor,3345.21
2024-02-19,2024,8,Radio,1855.78
2024-02-19,2024,8,Email,576.25
2024-02-26,2024,9,TV,6666.42
2024-02-26,2024,9,Social Media,3698.42
2024-02-26,2024,9,Outdoor,3419.72
2024-02-26,2024,9,Radio,2222.33
2024-02-26,2024,9,Email,488.63
2024-03-04,2024,10,TV,7575.49
2024-03-04,2024,10,Social Media,4494.08
2024-03-04,2024,10,Outdoor,3533.96
2024-03-04,2024,10,Radio,1815.55
2024-03-04,2024,10,Email,586.68
2024-03-11,2024,11,TV,8247.0
2024-03-11,2024,11,Social Media,3246.88
2024-03-11,2024,11,Outdoor,3513.31
2024-03-11,2024,11,Radio,1887.54
2024-03-11,2024,11,Email,438.67
2024-03-18,2024,12,TV,7707.84
2024-03-18,2024,12,Social Media,7604.14
2024-03-18,2024,12,Outdoor,3804.05
2024-03-18,2024,12,Radio,2006.96
2024-03-18,2024,12,Email,548.95
2024-03-25,2024,13,TV,7007.79
2024-03-25,2024,13,Social Media,3658.05
2024-03-25,2024,13,Outdoor,3703.33
2024-03-25,2024,13,Radio,2259.61
2024-03-25,2024,13,Email,414.62
2024-04-01,2024,14,TV,9536.02
2024-04-01,2024,14,Social Media,13781.24
2024-04-01,2024,14,Outdoor,10259.14
2024-04-01,2024,14,Radio,2055.38
2024-04-01,2024,14,Email,593.68
2024-04-08,2024,15,TV,7866.26
2024-04-08,2024,15,Social Media,4277.78
2024-04-08,2024,15,Outdoor,3452.02
2024-04-08,2024,15,Radio,1975.84
2024-04-08,2024,15,Email,516.43
2024-04-15,2024,16,TV,6925.67
2024-04-15,2024,16,Social Media,4528.32
2024-04-15,2024,16,Outdoor,3273.72
2024-04-15,2024,16,Radio,2329.77
2024-04-15,2024,16,Email,407.88
2024-04-22,2024,17,TV,9048.35
2024-04-22,2024,17,Social Media,4623.74
2024-04-22,2024,17,Outdoor,8796.29
2024-04-22,2024,17,Radio,1797.33
2024-04-22,2024,17,Email,525.7
2024-04-29,2024,18,TV,8776.44
2024-04-29,2024,18,Social Media,4103.92
2024-04-29,2024,18,Outdoor,3379.13
2024-04-29,2024,18,Radio,2154.72
2024-04-29,2024,18,Email,455.58
2024-05-06,2024,19,TV,7454.5
2024-05-06,2024,19,Social Media,4571.12
2024-05-06,2024,19,Outdoor,4035.42
2024-05-06,2024,19,Radio,2298.69
2024-05-06,2024,19,Email,577.72
2024-05-13,2024,20,TV,7406.68
2024-05-13,2024,20,Social Media,12528.18
2024-05-13,2024,20,Outdoor,3293.12
2024-05-13,2024,20,Radio,1916.84
2024-05-13,2024,20,Email,484.96
2024-05-20,2024,21,TV,9329.33
2024-05-20,2024,21,Social Media,4008.18
2024-05-20,2024,21,Outdoor,3451.39
2024-05-20,2024,21,Radio,1809.82
2024-05-20,2024,21,Email,431.38
2024-05-27,2024,22,TV,8853.92
2024-05-27,2024,22,Social Media,4145.29
2024-05-27,2024,22,Outdoor,4117.79
2024-05-27,2024,22,Radio,2012.15
2024-05-27,2024,22,Email,512.43
2024-06-03,2024,23,TV,8120.61
2024-06-03,2024,23,Social Media,4856.7
2024-06-03,2024,23,Outdoor,3395.34
2024-06-03,2024,23,Radio,1951.19
2024-06-03,2024,23,Email,609.41
2024-06-10,2024,24,TV,9539.38
2024-06-10,2024,24,Social Media,4899.24
2024-06-10,2024,24,Outdoor,5034.71
2024-06-10,2024,24,Radio,2227.49
2024-06-10,2024,24,Email,525.9
2024-06-17,2024,25,TV,27838.0
2024-06-17,2024,25,Social Media,4506.79
2024-06-17,2024,25,Outdoor,4512.63
2024-06-17,2024,25,Radio,2177.33
2024-06-17,2024,25,Email,493.29
2024-06-24,2024,26,TV,7950.91
2024-06-24,2024,26,Social Media,5311.39
2024-06-24,2024,26,Outdoor,4744.15
2024-06-24,2024,26,Radio,2850.19
2024-06-24,2024,26,Email,701.92
2024-07-01,2024,27,TV,8129.53
2024-07-01,2024,27,Social Media,4083.6
2024-07-01,2024,27,Outdoor,4170.59
2024-07-01,2024,27,Radio,1929.65
2024-07-01,2024,27,Email,597.92
2024-07-08,2024,28,TV,9153.06
2024-07-08,2024,28,Social Media,5212.22
2024-07-08,2024,28,Outdoor,3862.2
2024-07-08,2024,28,Radio,2128.99
2024-07-08,2024,28,Email,511.35
2024-07-15,2024,29,TV,7779.22
2024-07-15,2024,29,Social Media,5338.5
2024-07-15,2024,29,Outdoor,3494.51
2024-07-15,2024,29,Radio,1929.57
2024-07-15,2024,29,Email,673.83
2024-07-22,2024,30,TV,11194.13
2024-07-22,2024,30,Social Media,5151.7
2024-07-22,2024,30,Outdoor,4675.19
2024-07-22,2024,30,Radio,2687.12
2024-07-22,2024,30,Email,535.9
2024-07-29,2024,31,TV,10472.31
2024-07-29,2024,31,Social Media,4138.93
2024-07-29,2024,31,Outdoor,3715.82
2024-07-29,2024,31,Radio,2099.43
2024-07-29,2024,31,Email,1991.11
2024-08-05,2024,32,TV,10887.34
2024-08-05,2024,32,Social Media,5455.9
2024-08-05,2024,32,Outdoor,4874.74
2024-08-05,2024,32,Radio,1928.73
2024-08-05,2024,32,Email,540.09
2024-08-12,2024,33,TV,11090.97
2024-08-12,2024,33,Social Media,5005.39
2024-08-12,2024,33,Outdoor,4712.34
2024-08-12,2024,33,Radio,2177.85
2024-08-12,2024,33,Email,500.67
2024-08-19,2024,34,TV,9610.69
2024-08-19,2024,34,Social Media,4688.77
2024-08-19,2024,34,Outdoor,4236.68
2024-08-19,2024,34,Radio,1928.16
2024-08-19,2024,34,Email,651.12
2024-08-26,2024,35,TV,7883.27
2024-08-26,2024,35,Social Media,5673.94
2024-08-26,2024,35,Outdoor,3903.52
2024-08-26,2024,35,Radio,2473.86
2024-08-26,2024,35,Email,565.49
2024-09-02,2024,36,TV,8192.37
2024-09-02,2024,36,Social Media,3872.4
2024-09-02,2024,36,Outdoor,2808.21
2024-09-02,2024,36,Radio,2305.01
2024-09-02,2024,36,Email,541.36
2024-09-09,2024,37,TV,7266.19
2024-09-09,2024,37,Social Media,4110.27
2024-09-09,2024,37,Outdoor,4118.67
2024-09-09,2024,37,Radio,1669.3
2024-09-09,2024,37,Email,482.06
2024-09-16,2024,38,TV,6557.27
2024-09-16,2024,38,Social Media,4464.82
2024-09-16,2024,38,Outdoor,3222.33
2024-09-16,2024,38,Radio,2283.52
2024-09-16,2024,38,Email,454.46
2024-09-23,2024,39,TV,7206.39
2024-09-23,2024,39,Social Media,4130.54
2024-09-23,2024,39,Outdoor,3634.95
2024-09-23,2024,39,Radio,2245.69
2024-09-23,2024,39,Email,423.35
