shop_id,category,effective_date,unit_price_gbp
1,Bakery,2024-01-01,2.4
1,Bakery,2024-09-20,2.53
1,Bakery,2025-09-26,2.67
1,Coffee,2024-01-01,3.5
1,Coffee,2024-06-23,3.57
1,Coffee,2025-12-15,3.69
1,Cold Drinks,2024-01-01,2.8
1,Cold Drinks,2024-07-21,2.96
1,Cold Drinks,2024-10-15,3.12
1,Sandwiches,2024-01-01,5.2
1,Sandwiches,2024-05-29,5.46
1,Sandwiches,2025-09-10,5.58
1,Snacks,2024-01-01,1.9
1,Snacks,2024-06-04,1.96
1,Snacks,2024-10-10,2.06
2,Bakery,2024-01-01,2.28
2,Bakery,2024-11-26,2.42
2,Bakery,2025-11-09,2.56
2,Coffee,2024-01-01,3.32
2,Coffee,2024-10-12,3.47
2,Coffee,2025-05-04,3.59
2,Cold Drinks,2024-01-01,2.66
2,Cold Drinks,2024-03-07,2.81
2,Cold Drinks,2024-08-11,2.91
2,Sandwiches,2024-01-01,4.94
2,Sandwiches,2024-08-07,5.28
2,Sandwiches,2024-10-07,5.47
2,Snacks,2024-01-01,1.8
2,Snacks,2024-06-03,1.85
2,Snacks,2025-03-25,1.97
3,Bakery,2024-01-01,2.64
3,Bakery,2024-06-12,2.73
3,Bakery,2025-03-25,2.87
3,Coffee,2024-01-01,3.85
3,Coffee,2024-07-06,4.11
3,Coffee,2025-09-01,4.27
3,Cold Drinks,2024-01-01,3.08
3,Cold Drinks,2024-12-26,3.27
3,Cold Drinks,2025-09-17,3.44
3,Sandwiches,2024-01-01,5.72
3,Sandwiches,2025-03-06,5.89
3,Sandwiches,2025-10-13,6.03
3,Snacks,2024-01-01,2.09
3,Snacks,2024-10-20,2.23
3,Snacks,2024-12-22,2.37
4,Bakery,2024-01-01,2.4
4,Bakery,2024-04-27,2.55
4,Bakery,2024-10-21,2.7
4,Coffee,2024-01-01,3.5
4,Coffee,2024-08-14,3.63
4,Coffee,2025-03-09,3.74
4,Cold Drinks,2024-01-01,2.8
4,Cold Drinks,2024-11-29,2.87
4,Cold Drinks,2025-12-24,3.02
4,Sandwiches,2024-01-01,5.2
4,Sandwiches,2024-11-06,5.35
4,Sandwiches,2025-08-29,5.56
4,Snacks,2024-01-01,1.9
4,Snacks,2025-09-22,1.96
4,Snacks,2025-12-16,2.03
5,Bakery,2024-01-01,2.28
5,Bakery,2025-04-13,2.37
5,Bakery,2025-10-19,2.54
5,Coffee,2024-01-01,3.32
5,Coffee,2024-11-30,3.4
5,Coffee,2025-04-15,3.62
5,Cold Drinks,2024-01-01,2.66
5,Cold Drinks,2025-01-17,2.74
5,Cold Drinks,2025-10-02,2.86
5,Sandwiches,2024-01-01,4.94
5,Sandwiches,2025-06-13,5.07
5,Sandwiches,2025-12-19,5.21
5,Snacks,2024-01-01,1.8
5,Snacks,2025-09-03,1.86
5,Snacks,2025-09-26,1.95
6,Bakery,2024-01-01,2.76
6,Bakery,2024-03-12,2.91
6,Bakery,2024-06-26,3.05
6,Coffee,2024-01-01,4.02
6,Coffee,2024-07-20,4.2
6,Coffee,2025-08-04,4.44
6,Cold Drinks,2024-01-01,3.22
6,Cold Drinks,2024-06-21,3.39
6,Cold Drinks,2024-08-04,3.59
6,Sandwiches,2024-01-01,5.98
