promo_id,promo_name,shop_id,category,start_date,end_date,discount_pct,promo_type,is_brand_wide
1,Veganuary,1,Snacks,2024-01-02,2024-01-31,15,Seasonal Special,True
1,Veganuary,2,Snacks,2024-01-02,2024-01-31,15,Seasonal Special,True
1,Veganuary,3,Snacks,2024-01-02,2024-01-31,15,Seasonal Special,True
1,Veganuary,4,Snacks,2024-01-02,2024-01-31,15,Seasonal Special,True
1,Veganuary,5,Snacks,2024-01-02,2024-01-31,15,Seasonal Special,True
1,Veganuary,6,Snacks,2024-01-02,2024-01-31,15,Seasonal Special,True
1,Veganuary,7,Snacks,2024-01-02,2024-01-31,15,Seasonal Special,True
1,Veganuary,8,Snacks,2024-01-02,2024-01-31,15,Seasonal Special,True
1,Veganuary,9,Snacks,2024-01-02,2024-01-31,15,Seasonal Special,True
1,Veganuary,10,Snacks,2024-01-02,2024-01-31,15,Seasonal Special,True
2,Veganuary,1,Snacks,2025-01-02,2025-01-31,15,Seasonal Special,True
2,Veganuary,2,Snacks,2025-01-02,2025-01-31,15,Seasonal Special,True
2,Veganuary,3,Snacks,2025-01-02,2025-01-31,15,Seasonal Special,True
2,Veganuary,4,Snacks,2025-01-02,2025-01-31,15,Seasonal Special,True
2,Veganuary,5,Snacks,2025-01-02,2025-01-31,15,Seasonal Special,True
2,Veganuary,6,Snacks,2025-01-02,2025-01-31,15,Seasonal Special,True
2,Veganuary,7,Snacks,2025-01-02,2025-01-31,15,Seasonal Special,True
2,Veganuary,8,Snacks,2025-01-02,2025-01-31,15,Seasonal Special,True
2,Veganuary,9,Snacks,2025-01-02,2025-01-31,15,Seasonal Special,True
2,Veganuary,10,Snacks,2025-01-02,2025-01-31,15,Seasonal Special,True
3,Valentine's,1,Bakery,2024-02-10,2024-02-14,10,Seasonal Special,True
3,Valentine's,2,Bakery,2024-02-10,2024-02-14,10,Seasonal Special,True
3,Valentine's,3,Bakery,2024-02-10,2024-02-14,10,Seasonal Special,True
3,Valentine's,4,Bakery,2024-02-10,2024-02-14,10,Seasonal Special,True
3,Valentine's,5,Bakery,2024-02-10,2024-02-14,10,Seasonal Special,True
3,Valentine's,6,Bakery,2024-02-10,2024-02-14,10,Seasonal Special,True
3,Valentine's,7,Bakery,2024-02-10,2024-02-14,10,Seasonal Special,True
3,Valentine's,8,Bakery,2024-02-10,2024-02-14,10,Seasonal Special,True
3,Valentine's,9,Bakery,2024-02-10,2024-02-14,10,Seasonal Special,True
3,Valentine's,10,Bakery,2024-02-10,2024-02-14,10,Seasonal Special,True
4,Valentine's,1,Bakery,2025-02-10,2025-02-14,10,Seasonal Special,True
4,Valentine's,2,Bakery,2025-02-10,2025-02-14,10,Seasonal Special,True
4,Valentine's,3,Bakery,2025-02-10,2025-02-14,10,Seasonal Special,True
4,Valentine's,4,Bakery,2025-02-10,2025-02-14,10,Seasonal Special,True
4,Valentine's,5,Bakery,2025-02-10,2025-02-14,10,Seasonal Special,True
4,Valentine's,6,Bakery,2025-02-10,2025-02-14,10,Seasonal Special,True
4,Valentine's,7,Bakery,2025-02-10,2025-02-14,10,Seasonal Special,True
4,Valentine's,8,Bakery,2025-02-10,2025-02-14,10,Seasonal Special,True
4,Valentine's,9,Bakery,2025-02-10,2025-02-14,10,Seasonal Special,True
4,Valentine's,10,Bakery,2025-02-10,2025-02-14,10,Seasonal Special,True
5,Summer Refresh,1,Cold Drinks,2024-06-01,2024-08-31,20,20% Off,True
5,Summer Refresh,2,Cold Drinks,2024-06-01,2024-08-31,20,20% Off,True
5,Summer Refresh,3,Cold Drinks,2024-06-01,2024-08-31,20,20% Off,True
5,Summer Refresh,4,Cold Drinks,2024-06-01,2024-08-31,20,20% Off,True
5,Summer Refresh,5,Cold Drinks,2024-06-01,2024-08-31,20,20% Off,True
5,Summer Refresh,6,Cold Drinks,2024-06-01,2024-08-31,20,20% Off,True
5,Summer Refresh,7,Cold Drinks,2024-06-01,2024-08-31,20,20% Off,True
5,Summer Refresh,8,Cold Drinks,2024-06-01,2024-08-31,20,20% Off,True
5,Summer Refresh,9,Cold Drinks,2024-06-01,2024-08-31,20,20% Off,True
5,Summer Refresh,10,Cold Drinks,2024-06-01,2024-08-31,20,20% Off,True
6,Summer Refresh,1,Cold Drinks,2025-06-01,2025-08-31,20,20% Off,True
6,Summer Refresh,2,Cold Drinks,2025-06-01,2025-08-31,20,20% Off,True
6,Summer Refresh,3,Cold Drinks,2025-06-01,2025-08-31,20,20% Off,True
6,Summer Refresh,4,Cold Drinks,2025-06-01,2025-08-31,20,20% Off,True
6,Summer Refresh,5,Cold Drinks,2025-06-01,2025-08-31,20,20% Off,True
6,Summer Refresh,6,Cold Drinks,2025-06-01,2025-08-31,20,20% Off,True
6,Summer Refresh,7,Cold Drinks,2025-06-01,2025-08-31,20,20% Off,True
6,Summer Refresh,8,Cold Drinks,2025-06-01,2025-08-31,20,20% Off,True
6,Summer Refresh,9,Cold Drinks,2025-06-01,2025-08-31,20,20% Off,True
6,Summer Refresh,10,Cold Drinks,2025-06-01,2025-08-31,20,20% Off,True
7,Back to School,1,Sandwiches,2024-09-02,2024-09-20,10,Meal Deal,True
7,Back to School,2,Sandwiches,2024-09-02,2024-09-20,10,Meal Deal,True
7,Back to School,3,Sandwiches,2024-09-02,2024-09-20,10,Meal Deal,True
7,Back to School,4,Sandwiches,2024-09-02,2024-09-20,10,Meal Deal,True
7,Back to School,5,Sandwiches,2024-09-02,2024-09-20,10,Meal Deal,True
7,Back to School,6,Sandwiches,2024-09-02,2024-09-20,10,Meal Deal,True
7,Back to School,7,Sandwiches,2024-09-02,2024-09-20,10,Meal Deal,True
7,Back to School,8,Sandwiches,2024-09-02,2024-09-20,10,Meal Deal,True
7,Back to School,9,Sandwiches,2024-09-02,2024-09-20,10,Meal Deal,True
7,Back to School,10,Sandwiches,2024-09-02,2024-09-20,10,Meal Deal,True
8,Back to School,1,Sandwiches,2025-09-01,2025-09-19,10,Meal Deal,True
8,Back to School,2,Sandwiches,2025-09-01,2025-09-19,10,Meal Deal,True
8,Back to School,3,Sandwiches,2025-09-01,2025-09-19,10,Meal Deal,True
8,Back to School,4,Sandwiches,2025-09-01,2025-09-19,10,Meal Deal,True
8,Back to School,5,Sandwiches,2025-09-01,2025-09-19,10,Meal Deal,True
