date,shop_id,category,units_sold,unit_price_gbp,revenue_gbp,in_promotion,promotion_discount_pct
2024-01-01,1,Coffee,47,3.5,164.5,False,0
2024-01-01,1,Cold Drinks,15,2.8,42.0,False,0
2024-01-01,1,Sandwiches,22,5.2,114.4,False,0
2024-01-01,1,Snacks,30,1.9,57.0,False,0
2024-01-01,1,Bakery,27,2.4,64.8,False,0
2024-01-01,2,Coffee,28,3.32,92.96,False,0
2024-01-01,2,Cold Drinks,10,2.66,26.6,False,0
2024-01-01,2,Sandwiches,17,4.94,83.98,False,0
2024-01-01,2,Snacks,20,1.8,36.0,False,0
2024-01-01,2,Bakery,18,2.28,41.04,False,0
2024-01-01,3,Coffee,60,3.85,231.0,False,0
2024-01-01,3,Cold Drinks,19,3.08,58.52,False,0
2024-01-01,3,Sandwiches,32,5.72,183.04,False,0
2024-01-01,3,Snacks,46,2.09,96.14,False,0
2024-01-01,3,Bakery,43,2.64,113.52,False,0
2024-01-01,4,Coffee,31,3.5,108.5,False,0
2024-01-01,4,Cold Drinks,12,2.8,33.6,False,0
2024-01-01,4,Sandwiches,26,5.2,135.2,False,0
2024-01-01,4,Snacks,25,1.9,47.5,False,0
2024-01-01,4,Bakery,22,2.4,52.8,False,0
2024-01-01,5,Coffee,41,3.32,136.12,False,0
2024-01-01,5,Cold Drinks,15,2.66,39.9,False,0
2024-01-01,5,Sandwiches,26,4.94,128.44,False,0
2024-01-01,5,Snacks,28,1.8,50.4,False,0
2024-01-01,5,Bakery,27,2.28,61.56,False,0
2024-01-01,6,Coffee,31,4.02,124.62,False,0
2024-01-01,6,Cold Drinks,13,3.22,41.86,False,0
2024-01-01,6,Sandwiches,21,5.98,125.58,False,0
2024-01-01,6,Snacks,28,2.18,61.04,False,0
2024-01-01,6,Bakery,22,2.76,60.72,False,0
2024-01-01,7,Coffee,47,4.2,197.4,False,0
2024-01-01,7,Cold Drinks,18,3.36,60.48,False,0
2024-01-01,7,Sandwiches,27,6.24,168.48,False,0
2024-01-01,7,Snacks,31,2.28,70.68,False,0
2024-01-01,7,Bakery,33,2.88,95.04,False,0
2024-01-01,8,Coffee,14,3.15,44.1,False,0
2024-01-01,8,Cold Drinks,5,2.52,12.6,False,0
2024-01-01,8,Sandwiches,8,4.68,37.44,False,0
2024-01-01,8,Snacks,12,1.71,20.52,False,0
2024-01-01,8,Bakery,8,2.16,17.28,False,0
2024-01-01,9,Coffee,45,3.32,149.4,False,0
2024-01-01,9,Cold Drinks,12,2.66,31.92,False,0
2024-01-01,9,Sandwiches,21,4.94,103.74,False,0
2024-01-01,9,Snacks,25,1.8,45.0,False,0
2024-01-01,9,Bakery,22,2.28,50.16,False,0
2024-01-01,10,Coffee,28,3.68,103.04,False,0
2024-01-01,10,Cold Drinks,11,2.94,32.34,False,0
2024-01-01,10,Sandwiches,16,5.46,87.36,False,0
2024-01-01,10,Snacks,23,1.99,45.77,False,0
2024-01-01,10,Bakery,16,2.52,40.32,False,0
2024-01-02,1,Coffee,151,3.5,528.5,False,0
2024-01-02,1,Cold Drinks,47,2.8,131.6,False,0
2024-01-02,1,Sandwiches,74,5.2,384.8,False,0
2024-01-02,1,Snacks,132,1.61,212.52,True,15
2024-01-02,1,Bakery,91,2.4,218.4,False,0
2024-01-02,2,Coffee,105,3.32,348.6,False,0
2024-01-02,2,Cold Drinks,25,2.66,66.5,False,0
2024-01-02,2,Sandwiches,64,4.94,316.16,False,0
2024-01-02,2,Snacks,65,1.53,99.45,True,15
2024-01-02,2,Bakery,55,2.28,125.4,False,0
2024-01-02,3,Coffee,161,3.85,619.85,False,0
2024-01-02,3,Cold Drinks,63,3.08,194.04,False,0
2024-01-02,3,Sandwiches,101,5.72,577.72,False,0
2024-01-02,3,Snacks,155,1.78,275.9,True,15
2024-01-02,3,Bakery,118,2.64,311.52,False,0
2024-01-02,4,Coffee,111,3.5,388.5,False,0
2024-01-02,4,Cold Drinks,31,2.8,86.8,False,0
2024-01-02,4,Sandwiches,56,5.2,291.2,False,0
2024-01-02,4,Snacks,95,1.61,152.95,True,15
2024-01-02,4,Bakery,70,2.4,168.0,False,0
2024-01-02,5,Coffee,143,3.32,474.76,False,0
2024-01-02,5,Cold Drinks,46,2.66,122.36,False,0
2024-01-02,5,Sandwiches,63,4.94,311.22,False,0
2024-01-02,5,Snacks,115,1.53,175.95,True,15
2024-01-02,5,Bakery,92,2.28,209.76,False,0
2024-01-02,6,Coffee,122,4.02,490.44,False,0
2024-01-02,6,Cold Drinks,30,3.22,96.6,False,0
2024-01-02,6,Sandwiches,62,5.98,370.76,False,0
2024-01-02,6,Snacks,107,1.85,197.95,True,15
2024-01-02,6,Bakery,78,2.76,215.28,False,0
2024-01-02,7,Coffee,169,4.2,709.8,False,0
2024-01-02,7,Cold Drinks,44,3.36,147.84,False,0
2024-01-02,7,Sandwiches,91,6.24,567.84,False,0
2024-01-02,7,Snacks,126,1.94,244.44,True,15
2024-01-02,7,Bakery,101,2.88,290.88,False,0
2024-01-02,8,Coffee,47,3.15,148.05,False,0
2024-01-02,8,Cold Drinks,13,2.52,32.76,False,0
2024-01-02,8,Sandwiches,30,4.68,140.4,False,0
2024-01-02,8,Snacks,35,1.45,50.75,True,15
2024-01-02,8,Bakery,29,2.16,62.64,False,0
2024-01-02,9,Coffee,109,3.32,361.88,False,0
2024-01-02,9,Cold Drinks,40,2.66,106.4,False,0
